Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,nuts_2
-1.124497977302838,0.22624764209300285,-1.5617839642661333,-0.6838842907235512,AT11
-0.4643454629692154,0.20426210947086007,-0.8655458931993268,-0.0632690496473896,AT12
0.9768448835107646,0.27578727498645644,0.42693475388033764,1.5173286257851464,AT13
0.20835320218917358,0.207575405366495,-0.19110874722619714,0.6206725594954301,AT21
-0.21155422489441808,0.19537996020787346,-0.5962045570861313,0.17505679015002573,AT22
-0.8034077871671396,0.2076927262465147,-1.2168094021110565,-0.40299281880220184,AT31
1.2377880715498706,0.21973776541264345,0.8125170371082326,1.6743877837970553,AT32
2.1004637827614516,0.21301001314511067,1.682669756700226,2.5184230748114986,AT33
0.3416218050150183,0.21323079449202328,-0.0708578199412271,0.7597941238749573,AT34
0.2518848901124377,0.3440839799763442,-0.41146476801885745,0.9448298195001447,BE10
-1.4561045897414953,0.26632525755548364,-1.9587419666710548,-0.9224260042405681,BE21
-1.1520182465602604,0.19119353406156994,-1.5236124020817807,-0.7799268533171596,BE22
-0.2368808263352964,0.20097912963873427,-0.619281931721403,0.1658938480201867,BE23
0.22359854603875004,0.20351258691534121,-0.18290539442724646,0.6224366086772561,BE24
0.056297996786719914,0.1868557178224482,-0.2992895235670297,0.434678445246285,BE25
-1.7099771786959692,0.21977392914058286,-2.146242253786319,-1.2916472592049253,BE31
-1.9358375949409443,0.3375544306154218,-2.57667546490646,-1.2636254125762982,BE32
-0.8647339147856896,0.188260726963494,-1.226969333739933,-0.4980742360742976,BE33
-1.2251858115945844,0.21644344421743508,-1.647920647101482,-0.7930592026652847,BE34
-1.6812988289174982,0.1969655019915765,-2.0607792477725115,-1.294667074432146,BE35
-0.8642398262049591,0.2716272236878318,-1.407370008310232,-0.33362038918068043,BG31
-0.614024424162303,0.2803949807588978,-1.171547585149973,-0.0604171649549601,BG32
1.8009360052230332,0.2531797798419213,1.2893761411861042,2.2920534914207153,BG33
1.6855619573890857,0.25729777420063155,1.1803491161126047,2.183247908939111,BG34
0.9718181277422021,0.21831065363703883,0.5486909748436306,1.4028501328480771,BG41
0.6849485325800981,0.2627936596485674,0.15749432535978067,1.19512366993388,BG42
1.6947432150270971,0.2702436131767826,1.1677582472253325,2.2425524071725316,CY00
1.5863009956291683,0.23850398573702533,1.1165570042845225,2.0657088313464103,CZ01
-1.192080276911536,0.18452584423341103,-1.5492852861645547,-0.8279842467635619,CZ02
-0.4947823594714724,0.20595437028794306,-0.8897349818271552,-0.08124883826046372,CZ03
0.24323700302307846,0.19931964069454397,-0.1500824696511646,0.6369295993326174,CZ04
-0.744433592167074,0.18812272858877532,-1.1124635719484048,-0.3677726362567942,CZ05
-0.7786180669000847,0.3246715652703168,-1.410491475694166,-0.13542260463145114,CZ06
-0.8294151866893368,0.20302614066657132,-1.2325859123572092,-0.4290296564184659,CZ07
-0.37028909766131557,0.1970451734311228,-0.7533351517631485,0.013979315918161483,CZ08
-0.4959041811353858,0.23122742545632471,-0.9602284475563753,-0.032761752540346044,DE11
-0.1802647399531709,0.19970591863323997,-0.5667265206684822,0.21704191268550396,DE12
0.5519028909206549,0.1888307947289152,0.19186403901955543,0.9253689350756947,DE13
-0.7796219641824897,0.2111742081192425,-1.1897786090471436,-0.3639475381178139,DE14
0.9293598647026396,0.24157627780565352,0.4522796696992607,1.3954884326690418,DE21
-0.45607609727162723,0.19824396899493496,-0.8335288917991862,-0.06314845559025127,DE22
-1.194797936334942,0.19476448879034197,-1.561107102375233,-0.810327600654067,DE23
-1.6279025747763602,0.20445528385488163,-2.0292354110578987,-1.2252684519370143,DE24
0.385331561112645,0.20649846485042156,-0.018567049415889162,0.7920112255218326,DE25
-1.085328677327897,0.18941487319107184,-1.4454635689280688,-0.7101590306654135,DE26
0.07759647399898846,0.18701934026387912,-0.290017411359188,0.44500723378223006,DE27
1.0430214191061398,0.267541486801543,0.5046578922092173,1.5682984294179445,DE30
-0.787273228250257,0.1950329627324649,-1.1758027869789425,-0.4025604662964096,DE40
-0.9610040143775177,0.2439035719678519,-1.4392745460583458,-0.4822073380163442,DE50
0.22522743762988892,0.23675407070450516,-0.22274335030482736,0.6944527170095164,DE60
0.5726852700299381,0.21505755577859872,0.16400156013720593,1.0081438763605322,DE71
-1.4147411767029872,0.1887967242400171,-1.7772428021290352,-1.039770385785455,DE72
-1.0955409918299461,0.1901962557636741,-1.4703080597002915,-0.7175521154056702,DE73
-0.35168193401525794,0.18745318508397557,-0.7107165176264508,0.027155574599676057,DE80
-1.1026970283034534,0.19156561425007482,-1.4783838965245653,-0.717439523774131,DE91
-0.8754203285892684,0.20511249337393542,-1.2728795211742485,-0.4682341060162195,DE92
-0.45028697176953675,0.19198550329080386,-0.8239462392989519,-0.06954426135484144,DE93
-0.2871616620279416,0.2067471346406525,-0.6897419675510433,0.12685558242178943,DE94
0.19399393943665913,0.22687941059690664,-0.24349812380747254,0.654796430944257,DEA1
-0.6701322860022477,0.26334269172694197,-1.1838203265546603,-0.14413473481072353,DEA2
